package.name	keep	about.summary	about.description	about.home
kaiju	False	Fast and sensitive taxonomic classification for metagenomics.		https://github.com/bioinformatics-centre/kaiju
profile_dists	False	Profile Dists: Rapid calcualtion of allele profile distances and distance base querying		https://pypi.org/project/profile-dists
bioconductor-singscore	False	Rank-based single-sample gene set scoring method	A simple single-sample gene signature scoring method that uses rank-based statistics to analyze the sample's gene expression profile. It scores the expression activities of gene sets at a single-sample level.	https://bioconductor.org/packages/3.20/bioc/html/singscore.html
cgt	False	Calculate a core genome threshold (cgt) from metagenome data		https://github.com/bacpop/cgt
magneto	False	MAGNETO is an automated snakemake workflow dedicated to MAG reconstruction from metagenomic data.		https://gitlab.univ-nantes.fr/bird_pipeline_registry/magneto
bioconductor-scbfa	False	A dimensionality reduction tool using gene detection pattern to mitigate noisy expression profile of scRNA-seq	This package is designed to model gene detection pattern of scRNA-seq through a binary factor analysis model. This model allows user to pass into a cell level covariate matrix X and gene level covariate matrix Q to account for nuisance variance(e.g batch effect), and it will output a low dimensional embedding matrix for downstream analysis.	https://bioconductor.org/packages/3.20/bioc/html/scBFA.html
r-xgr	False	"The central goal of XGR by Fang et al. (2016) <doi:10.1186/s13073-016-0384-y> is to provide a data interpretation system necessary to do ""big data"" science. It is designed to make a user-defined gene or SNP list (or genomic regions) more interpretable by comprehensively utilising ontology annotations and interaction networks to reveal relationships and enhance opportunities for biological discovery. XGR is unique in supporting a broad range of ontologies (including knowledge of biological and molecular functions, pathways, diseases and phenotypes - in both human and mouse) and different types of networks (including functional, physical and pathway interactions). There are two core functionalities of XGR. The first is to provide basic infrastructures for easy access to built-in ontologies and networks. The second is to support data interpretations via 1) enrichment analysis using either built-in or custom ontologies, 2) similarity analysis for calculating semantic similarity between genes (or SNPs) based on their ontology annotation profiles, 3) network analysis for identification of gene networks given a query list of (significant) genes, SNPs or genomic regions, and 4) annotation analysis for interpreting genomic regions using co-localised functional genomic annotations (such as open chromatin, epigenetic marks, TF binding sites and genomic segments) and using nearby gene annotations (by ontologies). Together with its web app, XGR aims to provide a user-friendly tool for exploring genomic relations at the gene, SNP and genomic region level."		http://XGR.r-forge.r-project.org, http://galahad.well.ox.ac.uk/XGR
thapbi-pict	False	THAPBI Phytophthora ITS1 Classifier Tool (PICT).	"THAPBI Phytophthora ITS1 Classifier Tool (PICT) an ITS1-based
diagnostic/profiling tool from the UK BBSRC funded Tree Health
and Plant Biosecurity Initiative (THAPBI) Phyto-Threats project,
focused on identifying Phytophthora species present in Illumina
sequenced environmental samples.
"	https://github.com/peterjc/thapbi-pict
reago	False	An assembly tool for 16S ribosomal RNA recovery from metagenomic data		https://github.com/chengyuan/reago-1.1
bioconductor-mina	False	Microbial community dIversity and Network Analysis	An increasing number of microbiome datasets have been generated and analyzed with the help of rapidly developing sequencing technologies. At present, analysis of taxonomic profiling data is mainly conducted using composition-based methods, which ignores interactions between community members. Besides this, a lack of efficient ways to compare microbial interaction networks limited the study of community dynamics. To better understand how community diversity is affected by complex interactions between its members, we developed a framework (Microbial community dIversity and Network Analysis, mina), a comprehensive framework for microbial community diversity analysis and network comparison. By defining and integrating network-derived community features, we greatly reduce noise-to-signal ratio for diversity analyses. A bootstrap and permutation-based method was implemented to assess community network dissimilarities and extract discriminative features in a statistically principled way.	https://bioconductor.org/packages/3.20/bioc/html/mina.html
bronko	False	bronko is an ultra-rapid mapping free variant caller for viral amplicon sequencing data		https://github.com/treangenlab/bronko
bioconductor-mmdiff2	False	Statistical Testing for ChIP-Seq data sets	This package detects statistically significant differences between read enrichment profiles in different ChIP-Seq samples. To take advantage of shape differences it uses Kernel methods (Maximum Mean Discrepancy, MMD).	https://bioconductor.org/packages/3.20/bioc/html/MMDiff2.html
latentstrainanalysis	False	Partitioning and analysis methods for large, complex sequence datasets	"LSA was developed as a pre-assembly tool for partitioning metagenomic reads.
It uses a hyperplane hashing function and streaming SVD in order to find
covariance relations between k-mers. The code, and the process outline in
LSFScripts in particular, have been optimized to scale to massive data
sets in fixed memory with a highly distributed computing environment.
"	https://github.com/brian-cleary/LatentStrainAnalysis
ccmetagen	False	CCMetagen: comprehensive and accurate identification of eukaryotes and prokaryotes in metagenomic data.		https://github.com/vrmarcelino/CCMetagen
bioconductor-verso	False	Viral Evolution ReconStructiOn (VERSO)	Mutations that rapidly accumulate in viral genomes during a pandemic can be used to track the evolution of the virus and, accordingly, unravel the viral infection network. To this extent, sequencing samples of the virus can be employed to estimate models from genomic epidemiology and may serve, for instance, to estimate the proportion of undetected infected people by uncovering cryptic transmissions, as well as to predict likely trends in the number of infected, hospitalized, dead and recovered people. VERSO is an algorithmic framework that processes variants profiles from viral samples to produce phylogenetic models of viral evolution. The approach solves a Boolean Matrix Factorization problem with phylogenetic constraints, by maximizing a log-likelihood function. VERSO includes two separate and subsequent steps; in this package we provide an R implementation of VERSO STEP 1.	https://bioconductor.org/packages/3.20/bioc/html/VERSO.html
plasmidhawk	False	Plasmidhawk is a program for detecting lab-of-origin of input plasmids by building an annotated pangenome of training plasmids.		https://gitlab.com/treangenlab/plasmidhawk
r-dsb	False	Normalizing and denoising protein expression data from droplet-based single cell profiling	This lightweight R package provides a method for normalizing and denoising protein expression data from droplet based single cell experiments. Raw protein Unique Molecular Index (UMI) counts from sequencing DNA-conjugated antibody derived tags (ADT) in droplets (e.g. 'CITE-seq') have substantial measurement noise. Our experiments and computational modeling revealed two major components of this noise: 1) protein-specific noise originating from ambient, unbound antibody encapsulated in droplets that can be accurately inferred via the expected protein counts detected in empty droplets, and 2) droplet/cell-specific noise revealed via the shared variance component associated with isotype antibody controls and background protein counts in each cell. This package normalizes and removes both of these sources of noise from raw protein data derived from methods such as 'CITE-seq', 'REAP-seq', 'ASAP-seq', 'TEA-seq', 'proteogenomic' data from the Mission Bio platform, etc. See the vignette for tutorials on how to integrate dsb with 'Seurat' and 'Bioconductor' and how to use dsb in 'Python'. Please see our paper Mulè M.P., Martins A.J., and Tsang J.S. Nature Communications 2022 <https://www.nature.com/articles/s41467-022-29356-8> for more details on the method.	https://github.com/niaid/dsb
midas	False	An integrated pipeline for estimating strain-level genomic variation from metagenomic data		https://github.com/snayfach/MIDAS
bioconductor-mtbls2	False	MetaboLights MTBLS2: Comparative LC/MS-based profiling of silver nitrate-treated Arabidopsis thaliana leaves of wild-type and cyp79B2 cyp79B3 double knockout plants. Böttcher et al. (2004)	Indole-3-acetaldoxime (IAOx) represents an early intermediate of the biosynthesis of a variety of indolic secondary metabolites including the phytoanticipin indol-3-ylmethyl glucosinolate and the phytoalexin camalexin (3-thiazol-2'-yl-indole). Arabidopsis thaliana cyp79B2 cyp79B3 double knockout plants are completely impaired in the conversion of tryptophan to indole-3-acetaldoxime and do not accumulate IAOx-derived metabolites any longer. Consequently, comparative analysis of wild-type and cyp79B2 cyp79B3 plant lines has the potential to explore the complete range of IAOx-derived indolic secondary metabolites.	https://bioconductor.org/packages/3.20/data/experiment/html/mtbls2.html
bioconductor-drugvsdiseasedata	False	Drug versus Disease Data	Data package which provides default disease expression profiles, clusters and annotation information for use with the DrugVsDisease package.	https://bioconductor.org/packages/3.20/data/experiment/html/DrugVsDiseasedata.html
phylophlan	False	Precise phylogenetic analysis of microbial isolates and genomes from metagenomes	"PhyloPhlAn 3.0 is an integrated pipeline for large-scale phylogenetic 
profiling of genomes and metagenomes. PhyloPhlAn 3.0 is an accurate, rapid,
and easy-to-use method for large-scale microbial genome characterization 
and phylogenetic analysis at multiple levels of resolution. PhyloPhlAn 3.0 
can assign both genomes and metagenome-assembled genomes (MAGs) to 
species-level genome bins (SGBs). PhyloPhlAn 3.0 can reconstruct 
strain-level phylogenies using clade-specific maximally informative 
phylogenetic markers, and can also scale to very-large phylogenies 
comprising >17,000 microbial species."	https://github.com/biobakery/phylophlan
r-cdseq	False	Estimate cell-type-specific gene expression profiles and sample-specific cell-type proportions simultaneously using bulk sequencing data. Kang et al. (2019) <doi:10.1371/journal.pcbi.1007510>.		https://github.com/omnideconv/CDSeq
metawatt	False	MetaWatt is a metagenomic binning tool	"The Metawatt binner is a graphical binning tool that makes use of
multivariate statistics of tetranucleotide frequencies and differential
coverage based binning. It also performs taxonomic assessment of binning
quality (via diamond BLASTx). Created bins can be edited and exported as
fasta. The Metawatt is implemented in Java SWING and minimally depends on
Diamond, HMMer3.1, BBMap, Prodigal and the Batik library for the export of
SVG graphics.
"	https://sourceforge.net/projects/metawatt/
bioconductor-screenr	False	Package to Perform High Throughput Biological Screening	ScreenR is a package suitable to perform hit identification in loss of function High Throughput Biological Screenings performed using barcoded shRNA-based libraries. ScreenR combines the computing power of software such as edgeR with the simplicity of use of the Tidyverse metapackage. ScreenR executes a pipeline able to find candidate hits from barcode counts, and integrates a wide range of visualization modes for each step of the analysis.	https://bioconductor.org/packages/3.20/bioc/html/ScreenR.html
plasflow	False	PlasFlow - predicting plasmid sequences in metagenomic data		https://github.com/smaegol/PlasFlow
r-numbat	False	A computational method that infers copy number variations (CNVs) in cancer scRNA-seq data and reconstructs the tumor phylogeny. 'numbat' integrates signals from gene expression, allelic ratio, and population haplotype structures to accurately infer allele-specific CNVs in single cells and reconstruct their lineage relationship. 'numbat' can be used to: 1. detect allele-specific copy number variations from single-cells; 2. differentiate tumor versus normal cells in the tumor microenvironment; 3. infer the clonal architecture and evolutionary history of profiled tumors. 'numbat' does not require tumor/normal-paired DNA or genotype data, but operates solely on the donor scRNA-data data (for example, 10x Cell Ranger output). Additional examples and documentations are available at <https://kharchenkolab.github.io/numbat/>. For details on the method please see Gao et al. Nature Biotechnology (2022) <doi:10.1038/s41587-022-01468-y>.		https://github.com/kharchenkolab/numbat/, https://kharchenkolab.github.io/numbat/
plassembler	False	Quickly and accurately assemble plasmids in hybrid sequenced bacterial isolates.		https://github.com/gbouras13/plassembler
bioconductor-proteinprofiles	False	Protein Profiling	Significance assessment for distance measures of time-course protein profiles	https://bioconductor.org/packages/3.20/bioc/html/proteinProfiles.html
bioconductor-airway	False	RangedSummarizedExperiment for RNA-Seq in airway smooth muscle cells, by Himes et al PLoS One 2014	This package provides a RangedSummarizedExperiment object of read counts in genes for an RNA-Seq experiment on four human airway smooth muscle cell lines treated with dexamethasone. Details on the gene model and read counting procedure are provided in the package vignette. The citation for the experiment is: Himes BE, Jiang X, Wagner P, Hu R, Wang Q, Klanderman B, Whitaker RM, Duan Q, Lasky-Su J, Nikolos C, Jester W, Johnson M, Panettieri R Jr, Tantisira KG, Weiss ST, Lu Q. 'RNA-Seq Transcriptome Profiling Identifies CRISPLD2 as a Glucocorticoid Responsive Gene that Modulates Cytokine Function in Airway Smooth Muscle Cells.' PLoS One. 2014 Jun 13;9(6):e99625. PMID: 24926665. GEO: GSE52778.	https://bioconductor.org/packages/3.20/data/experiment/html/airway.html
commet	False	Comparing and combining multiple metagenomic datasets.		https://github.com/pierrepeterlongo/commet
bioconductor-metaphor	False	Metabolic Pathway Analysis of RNA	MetaPhOR was developed to enable users to assess metabolic dysregulation using transcriptomic-level data (RNA-sequencing and Microarray data) and produce publication-quality figures. A list of differentially expressed genes (DEGs), which includes fold change and p value, from DESeq2 or limma, can be used as input, with sample size for MetaPhOR, and will produce a data frame of scores for each KEGG pathway. These scores represent the magnitude and direction of transcriptional change within the pathway, along with estimated p-values.MetaPhOR then uses these scores to visualize metabolic profiles within and between samples through a variety of mechanisms, including: bubble plots, heatmaps, and pathway models.	https://bioconductor.org/packages/3.20/bioc/html/MetaPhOR.html
pgcgap	False	A prokaryotic genomics and comparative genomics analysis pipeline	PGCGAP is a pipeline for prokaryotic comparative genomics analysis. It can take the pair-end reads, ONT reads or PacBio reads as input. In addition to genome assembly, gene prediction and annotation, it can also get common comparative genomics analysis results such as phylogenetic trees of single-core proteins and core SNPs, pan-genome, whole-genome Average Nucleotide Identity (ANI), orthogroups and orthologs, COG annotations, substitutions (SNPs) and insertions/deletions (indels), and antimicrobial and virulence genes mining with only one line of commands.	https://github.com/liaochenlanruo/pgcgap/blob/master/README.md
bioconductor-procoil	False	Prediction of Oligomerization of Coiled Coil Proteins	The package allows for predicting whether a coiled coil sequence (amino acid sequence plus heptad register) is more likely to form a dimer or more likely to form a trimer. Additionally to the prediction itself, a prediction profile is computed which allows for determining the strengths to which the individual residues are indicative for either class. Prediction profiles can also be visualized as curves or heatmaps.	https://bioconductor.org/packages/3.20/bioc/html/procoil.html
tracs	False	Tracs - Fast pairwise transmission inference from single genome and/or metagenomic data		https://github.com/gtonkinhill/tracs
bioconductor-deconvr	False	Simulation and Deconvolution of Omic Profiles	This package provides a collection of functions designed for analyzing deconvolution of the bulk sample(s) using an atlas of reference omic signature profiles and a user-selected model. Users are given the option to create or extend a reference atlas and,also simulate the desired size of the bulk signature profile of the reference cell types.The package includes the cell-type-specific methylation atlas and, Illumina Epic B5 probe ids that can be used in deconvolution. Additionally,we included BSmeth2Probe, to make mapping WGBS data to their probe IDs easier.	https://bioconductor.org/packages/3.20/bioc/html/deconvR.html
cobra-meta	False	COBRA is a tool to get higher quality viral genomes assembled from metagenomes.		https://github.com/linxingchen/cobra
mapseq	False	Open source metagenomic 16S/18S read classifier enabling comparative metagenomics.		https://github.com/jfmrod/MAPseq
sourmash	False	Quickly search, compare, and analyze genomic and metagenomic data sets.		https://github.com/sourmash-bio/sourmash
bioconductor-viseago	False	ViSEAGO: a Bioconductor package for clustering biological functions using Gene Ontology and semantic similarity	The main objective of ViSEAGO package is to carry out a data mining of biological functions and establish links between genes involved in the study. We developed ViSEAGO in R to facilitate functional Gene Ontology (GO) analysis of complex experimental design with multiple comparisons of interest. It allows to study large-scale datasets together and visualize GO profiles to capture biological knowledge. The acronym stands for three major concepts of the analysis: Visualization, Semantic similarity and Enrichment Analysis of Gene Ontology. It provides access to the last current GO annotations, which are retrieved from one of NCBI EntrezGene, Ensembl or Uniprot databases for several species. Using available R packages and novel developments, ViSEAGO extends classical functional GO analysis to focus on functional coherence by aggregating closely related biological themes while studying multiple datasets at once. It provides both a synthetic and detailed view using interactive functionalities respecting the GO graph structure and ensuring functional coherence supplied by semantic similarity. ViSEAGO has been successfully applied on several datasets from different species with a variety of biological questions. Results can be easily shared between bioinformaticians and biologists, enhancing reporting capabilities while maintaining reproducibility.	https://bioconductor.org/packages/3.18/bioc/html/ViSEAGO.html
eskrim	False	ESKRIM: EStimate with K-mers the RIchness in a Microbiome.	ESKRIM is a reference-free tool that compares microbial richness in shotgun metagenomic samples by counting k-mers.	https://forgemia.inra.fr/metagenopolis/eskrim
bioconductor-mnem	False	Mixture Nested Effects Models	Mixture Nested Effects Models (mnem) is an extension of Nested Effects Models and allows for the analysis of single cell perturbation data provided by methods like Perturb-Seq (Dixit et al., 2016) or Crop-Seq (Datlinger et al., 2017). In those experiments each of many cells is perturbed by a knock-down of a specific gene, i.e. several cells are perturbed by a knock-down of gene A, several by a knock-down of gene B, ... and so forth. The observed read-out has to be multi-trait and in the case of the Perturb-/Crop-Seq gene are expression profiles for each cell. mnem uses a mixture model to simultaneously cluster the cell population into k clusters and and infer k networks causally linking the perturbed genes for each cluster. The mixture components are inferred via an expectation maximization algorithm.	https://bioconductor.org/packages/3.20/bioc/html/mnem.html
ampligone	False	Ampligone is a tool which accurately removes primer sequences from FastQ NGS reads in an amplicon sequencing experiment		https://rivm-bioinformatics.github.io/AmpliGone/
rdptools	False	Metaproject for RDP Tools		http://rdp.cme.msu.edu/misc/resources.jsp
haplotype-lso	False	Haplotype Candidatus Liberibacter solanacearum (Lso) samples from targeted amplicon capillary sequencing data		https://github.com/holtgrewe/haplotype-lso
bioconductor-allmll	False	A subset of arrays from a large acute lymphoblastic leukemia (ALL) study	This package provides probe-level data for 20 HGU133A and 20 HGU133B arrays which are a subset of arrays from a large ALL study. The data is for the MLL arrays. This data was published in Mary E. Ross, Xiaodong Zhou, Guangchun Song, Sheila A. Shurtleff, Kevin Girtman, W. Kent Williams, Hsi-Che Liu, Rami Mahfouz, Susana C. Raimondi, Noel Lenny, Anami Patel, and James R. Downing (2003) Classification of pediatric acute lymphoblastic leukemia by gene expression profiling Blood 102: 2951-2959	https://bioconductor.org/packages/3.20/data/experiment/html/ALLMLL.html
dampa	False	DAMPA designs probes for use in targetted metagenomics. It leverages pangenome graphs to increase speed and accuracy.		https://github.com/MultipathogenGenomics/dampa
cnasim	False	Improved simulation of single-cell copy number profiles and DNA-seq data from tumors	CNAsim is a software package for improved simulation of single-cell copy number alteration (CNA) data from tumors. See our paper with the same name published in Bioinformatics.	https://github.com/samsonweiner/CNAsim
bioconductor-mitch	False	Multi-Contrast Gene Set Enrichment Analysis	mitch is an R package for multi-contrast enrichment analysis. At it’s heart, it uses a rank-MANOVA based statistical approach to detect sets of genes that exhibit enrichment in the multidimensional space as compared to the background. The rank-MANOVA concept dates to work by Cox and Mann (https://doi.org/10.1186/1471-2105-13-S16-S12). mitch is useful for pathway analysis of profiling studies with one, two or more contrasts, or in studies with multiple omics profiling, for example proteomic, transcriptomic, epigenomic analysis of the same samples. mitch is perfectly suited for pathway level differential analysis of scRNA-seq data. The main strengths of mitch are that it can import datasets easily from many upstream tools and has advanced plotting features to visualise these enrichments.	https://bioconductor.org/packages/3.18/bioc/html/mitch.html
nail	False	Profile Hidden Markov Model (pHMM) biological sequence alignment tool.		https://github.com/TravisWheelerLab/nail
bioconductor-cogps	False	cancer outlier Gene Profile Sets	Gene Set Enrichment Analysis of P-value based statistics for outlier gene detection in dataset merged from multiple studies	https://bioconductor.org/packages/3.20/bioc/html/coGPS.html
abundancebin	False	Abundance-based tool for binning metagenomic sequences.	"AbundanceBin is an abundance-based tool for binning metagenomic sequences,
such that the reads classified in a bin belong to species of identical or
very similar abundances. AbundanceBin also gives estimations of species
abundances and their genome sizes — two important characteristic parameters
for a microbial community.
"	https://omics.informatics.indiana.edu/AbundanceBin
viromeqc	False	Provides an enrichment score for VLP viromes with respect to metagenomes		https://github.com/SegataLab/viromeqc
prokbert	False	ProkBERT is a genomic language model specifically designed for microbiome applications. It leverages the power of machine learning to decipher complex microbial interactions, predict functionalities, and uncover novel patterns in extensive datasets. The ProkBERT model family, built on transfer learning and self-supervised methodologies, capitalizes on the abundant genomic data available.		https://github.com/nbrg-ppcu/prokbert
plasmidcommunity	False	Klebsiella pneumoniae Plasmid Classification, Assignment, and Transmission Risk Prediction		https://github.com/wuxinmiao5/PlasmidCommunity
bioconductor-tin	False	Transcriptome instability analysis	The TIN package implements a set of tools for transcriptome instability analysis based on exon expression profiles. Deviating exon usage is studied in the context of splicing factors to analyse to what degree transcriptome instability is correlated to splicing factor expression. In the transcriptome instability correlation analysis, the data is compared to both random permutations of alternative splicing scores and expression of random gene sets.	https://bioconductor.org/packages/3.20/bioc/html/TIN.html
metabat2	False	Metagenome binning.		https://bitbucket.org/berkeleylab/metabat
mob_suite	False	MOB-suite is a set of tools for finding, typing and reconstruction of plasmids from draft and complete genome assemblies.		https://pypi.org/project/mob-suite/
plascope	False	PlaScope is a targeted approach to assess the plasmidome of bacteria.		https://github.com/labgem/PlaScope
r-xcell	False	Estimate immune cell proportions from gene expression data	"""Tissues are a complex milieu consisting of numerous cell types. In cancer, understanding the cellular heterogeneity in the tumor microenvironment is an emerging field of research. Numerous methods have been published in recent years for the enumeration of cell subsets from tissue expression profiles. However, the available methods suffer from three major problems: inferring cell subset based on gene sets learned and verified from limited sources; displaying only partial portrayal of the full cellular heterogeneity; and insufficient validation in mixed tissues. The xCell package performs cell type enrichment analysis from gene expression data for 64 immune and stroma cell types. xCell is a gene signatures-based method learned from thousands of pure cell types from various sources. xCell applies a novel technique for reducing associations between closley related cell types. xCell signatures were validated using extensive in-silico simulations and also cytometry immunophenotyping, and were shown to outperform previous methods. xCell allows researchers to reliably portray the cellular heterogeneity landscape of tissue expression profiles.""
"	https://github.com/dviraran/xCell
meta_eukaryome_detect	False	Pathogen, Parasite, Eukaryote and Virus detection in metagenomes.		https://github.com/grp-bork/meta_eukaryome_detect
bioconductor-anota2seq	False	Generally applicable transcriptome-wide analysis of translational efficiency using anota2seq	anota2seq provides analysis of translational efficiency and differential expression analysis for polysome-profiling and ribosome-profiling studies (two or more sample classes) quantified by RNA sequencing or DNA-microarray. Polysome-profiling and ribosome-profiling typically generate data for two RNA sources; translated mRNA and total mRNA. Analysis of differential expression is used to estimate changes within each RNA source (i.e. translated mRNA or total mRNA). Analysis of translational efficiency aims to identify changes in translation efficiency leading to altered protein levels that are independent of total mRNA levels (i.e. changes in translated mRNA that are independent of levels of total mRNA) or buffering, a mechanism regulating translational efficiency so that protein levels remain constant despite fluctuating total mRNA levels (i.e. changes in total mRNA that are independent of levels of translated mRNA). anota2seq applies analysis of partial variance and the random variance model to fulfill these tasks.	https://bioconductor.org/packages/3.20/bioc/html/anota2seq.html
mglex	False	MGLEX - MetaGenome Likelihood EXtractor		https://github.com/fungs/mglex
reneo	False	Reneo: Unraveling Viral Genomes from Metagenomes	"Reneo recovers high-quality genomes from viral communities (including both prokaryotic and eukaryotic viruses) found within metagenomes.
"	https://github.com/Vini2/phables
pling	False	Pling computes the rearrangement distance between plasmids and clusters on their basis 		https://github.com/iqbal-lab-org/pling
r-cghseg	False	Dedicated to the analysis of CGH (Comparative Genomic Hybridization) array profiles using segmentation models. 'cghseg' package is intended to detect breakpoints from CGH profiles. It can handle both single and multiple profiles analysis, to perform segmentation, normalization and calling. Methods for joint segmentation are described in Picard and al. (2011).		https://CRAN.R-project.org/package=cghseg
mpa-portable	False	MPA Portable is a light-weight and stand-alone software for the identification of proteins and in-depth analysis of metaproteomics (and also proteomics) data.		https://github.com/compomics/meta-proteome-analyzer
kraken-ea	False	Kraken is a system for assigning taxonomic labels to short DNA sequences, usually obtained through metagenomic studies. This is a modified version allowing for splitting of fastq files based on read classifications.		https://github.com/ExpressionAnalysis/kraken/tree/v0.10.5-beta-ea.3
platon	False	Plasmid contig classification and characterization for short read draft assemblies.		https://github.com/oschwengers/platon
autobigs-cli	False	A CLI tool to rapidly fetch fetch MLST profiles given sequences for various diseases.		https://github.com/Syph-and-VPD-Lab/autoBIGS.cli
lotus2	False	LotuS2 is a lightweight complete 16S/18S/ITS pipeline		http://lotus2.earlham.ac.uk/
export2graphlan	False	Conversion software tool for annotating tree with GraPhlAn	"export2graphlan is a conversion software tool for producing both annotation and tree file for GraPhlAn.
It automatically generate the input tree and the annotation file for GraPhlAn, starting from the
input/output of MetaPhlAn, LEfSe, and HUMAnN. It supports also the biom file format. The annotation file
will highlight specific sub-trees/clades automatically inferred from input file(s) provided. The two output
file of export2graphlan should then be used with GraPhlAn."	https://github.com/segatalab/export2graphlan
keggcharter	False	A tool for representing genomic potential and transcriptomic expression into KEGG pathways	"KEGGCharter takes as input a quantification table of proteins with corresponding
KEGG IDs available and maps that information into KEGG metabolic maps using 
the KEGG API. Both genomic potential (from either genomics or metagenomics)
and gene expression quantification (from either (meta)transcriptomics or
(meta)proteomics) can be represented. Genomic information is mapped in a binary
exists or not rule, for each taxon available KEGGCharter will assign a color
which will be included in the boxes corresponding to functions present in that
taxon. Gene expression quantification is mapped as differential expression
where quantification between the several columns specified is represented as
a single row heatmap for each function present in the data.
"	https://github.com/iquasere/KEGGCharter
bioconductor-microbiome	False	Microbiome Analytics	Utilities for microbiome analysis.	https://bioconductor.org/packages/3.20/bioc/html/microbiome.html
maaslin3	False	"""Refining and extending generalized multivariate linear models for meta-omic association discovery"""	MaAsLin 3 refines and extends generalized multivariate linear models for meta-omicron association discovery. It finds abundance and prevalence associations between microbiome meta-omics features and complex metadata in population-scale epidemiological studies. The software includes multiple analysis methods (including support for multiple covariates, repeated measures, and ordered predictors), filtering, normalization, and transform options to customize analysis for your specific study.	https://github.com/biobakery/maaslin3
metafx	False	MetaFX (METAgenomic Feature eXtraction) is a library for feature extraction from whole-genome metagenome sequencing data and classification of groups of samples.		https://github.com/ctlab/metafx
bioconductor-microstasis	False	Microbiota STability ASsessment via Iterative cluStering	The toolkit 'µSTASIS', or microSTASIS, has been developed for the stability analysis of microbiota in a temporal framework by leveraging on iterative clustering. Concretely, the core function uses Hartigan-Wong k-means algorithm as many times as possible for stressing out paired samples from the same individuals to test if they remain together for multiple numbers of clusters over a whole data set of individuals. Moreover, the package includes multiple functions to subset samples from paired times, validate the results or visualize the output.	https://bioconductor.org/packages/3.20/bioc/html/microSTASIS.html
hifiasm_meta	False	Metagenome assembler for Hifi reads, based on hifiasm.		https://github.com/xfengnefx/hifiasm-meta
bioconductor-aggregatebiovar	False	Differential Gene Expression Analysis for Multi-subject scRNA-seq	For single cell RNA-seq data collected from more than one subject (e.g. biological sample or technical replicates), this package contains tools to summarize single cell gene expression profiles at the level of subject. A SingleCellExperiment object is taken as input and converted to a list of SummarizedExperiment objects, where each list element corresponds to an assigned cell type. The SummarizedExperiment objects contain aggregate gene-by-subject count matrices and inter-subject column metadata for individual subjects that can be processed using downstream bulk RNA-seq tools.	https://bioconductor.org/packages/3.20/bioc/html/aggregateBioVar.html
fcp	False	Homology- and composition-based classifiers for assigning a taxonomic attribution to metagenomic fragments.		https://github.com/dparks1134/FragmentClassificationPackage
spestimator	False	A tool to predict bacterial species from fasta files using RefSeq 16S.		https://github.com/erinyoung/Spestimator
haystac	False	Species identification pipeline for both single species and metagenomic samples.		https://github.com/antonisdim/haystac
vrhyme	False	Binning Virus Genomes from Metagenomes.		https://github.com/AnantharamanLab/vRhyme
metabuli	False	Metabuli: specific and sensitive metagenomic classification via joint analysis of DNA and amino acid		https://github.com/steineggerlab/Metabuli
bioconductor-omada	False	Machine learning tools for automated transcriptome clustering analysis	Symptomatic heterogeneity in complex diseases reveals differences in molecular states that need to be investigated. However, selecting the numerous parameters of an exploratory clustering analysis in RNA profiling studies requires deep understanding of machine learning and extensive computational experimentation. Tools that assist with such decisions without prior field knowledge are nonexistent and further gene association analyses need to be performed independently. We have developed a suite of tools to automate these processes and make robust unsupervised clustering of transcriptomic data more accessible through automated machine learning based functions. The efficiency of each tool was tested with four datasets characterised by different expression signal strengths. Our toolkit’s decisions reflected the real number of stable partitions in datasets where the subgroups are discernible. Even in datasets with less clear biological distinctions, stable subgroups with different expression profiles and clinical associations were found.	https://bioconductor.org/packages/3.20/bioc/html/omada.html
semibin	False	Metagenomic binning with siamese neural networks		https://github.com/BigDataBiology/SemiBin
marvel	False	MARVEL: Metagenomic Analyses and Retrieval of Viral Elements 		http://github.com/quadram-institute-bioscience/marvel/
bioconductor-faahko	False	Saghatelian et al. (2004) FAAH knockout LC/MS data	"Positive ionization mode data in NetCDF file format. Centroided subset from 200-600 m/z and 2500-4500 seconds. Data originally reported in ""Assignment of Endogenous Substrates to Enzymes by Global Metabolite Profiling"" Biochemistry; 2004; 43(45). Also includes detected peaks in an xcmsSet."	https://bioconductor.org/packages/3.20/data/experiment/html/faahKO.html
lotus3	False	LotuS3 is a lightweight amplicon sequencing pipeline supporting 16S/18S/ITS		https://lotus3.earlham.ac.uk/
pilea	False	Pilea: profiling bacterial growth dynamics from metagenomes with sketching		https://github.com/xinehc/pilea
bioconductor-ebseqhmm	False	Bayesian analysis for identifying gene or isoform expression changes in ordered RNA-seq experiments	The EBSeqHMM package implements an auto-regressive hidden Markov model for statistical analysis in ordered RNA-seq experiments (e.g. time course or spatial course data). The EBSeqHMM package provides functions to identify genes and isoforms that have non-constant expression profile over the time points/positions, and cluster them into expression paths.	https://bioconductor.org/packages/3.18/bioc/html/EBSeqHMM.html
