package.name	keep	about.home	about.license	about.license_family	about.license_file	about.summary	build.noarch	build.number	build.script	package.version	requirements.host	requirements.run	source.sha256	source.url	test.commands	test.imports	about.description	build.rpaths	build.run_exports	extra.parent_recipe.name	extra.parent_recipe.path	extra.parent_recipe.version	source.md5	about.dev_url	build.entry_points	extra.recipe-maintainers	requirements.build	extra.identifiers	extra.notes	build.skip	extra.additional-platforms	source.patches	about.doc_url	extra.skip-lints	extra.container.extended-base	test.requires	about.recipe-maintainers	source.git_rev	source.git_url	build.binary_relocation	source	about.licence_family	about.licence_url	build.has_prefix_files	test.source_files	extra.maintainers	identifiers	build.merge_build_host	extra.authors	about.licence_file	build.script_env	about.notes	test.files	extra.additional notes identifiers	extra.autobump.enable	test.import	outputs	extra.identifies	about.doc_source_url	build.no_link	extra.documentation	extra.doi	about.license_url	extra.recipe_maintainers	source.folder	extra.watch	extra.recipe-maintainer
cgt	False	https://github.com/bacpop/cgt	Apache-2.0	APACHE	LICENSE.txt	Calculate a core genome threshold (cgt) from metagenome data		0	"cargo install --no-track --locked --verbose --root ""${PREFIX}"" --path ."	1.0.0			d79750878e45853e46a3e991e8f7274a2de248bca58476b2be7e527caac3ab2b	https://github.com/bacpop/cgt/archive/v1.0.0.tar.gz	['cgt_bacpop -V']				['None']								['None']																																								
magneto	False	https://gitlab.univ-nantes.fr/bird_pipeline_registry/magneto	GPL-3.0-only	GPL3	LICENSE	MAGNETO is an automated snakemake workflow dedicated to MAG reconstruction from metagenomic data.	python	0	-m pip install --no-deps --no-build-isolation --no-cache-dir . -vvv	1.4	['python >=3.8', 'pip', 'setuptools']	['python >=3.8,<3.12', 'snakemake-minimal >=7.32.4,<8.0.0', 'mamba >=1.5.8,<1.5.9', 'click', 'pyyaml', 'pandas']	054d9146c11c21cb1dcb83a06858c6924570f488bebf6fd61f717a53706ed987	https://gitlab.univ-nantes.fr/bird_pipeline_registry/magneto/-/archive/1.4/magneto-1.4.tar.gz	['magneto --help']				['None']					https://gitlab.univ-nantes.fr/bird_pipeline_registry/magneto	['magneto = magneto.magneto:cli']			['biotools:magneto', 'doi:10.1128/msystems.00432-22']					https://gitlab.univ-nantes.fr/bird_pipeline_registry/magneto/-/wikis/home																																		
bioconductor-scbfa	False	https://bioconductor.org/packages/3.20/bioc/html/scBFA.html	GPL-3 + file LICENSE		LICENSE	A dimensionality reduction tool using gene detection pattern to mitigate noisy expression profile of scRNA-seq	generic	0		1.20.0	['bioconductor-deseq2 >=1.46.0,<1.47.0', 'bioconductor-singlecellexperiment >=1.28.0,<1.29.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'bioconductor-zinbwave >=1.28.0,<1.29.0', 'r-base', 'r-copula', 'r-ggplot2', 'r-mass', 'r-matrix', 'r-seurat']	['bioconductor-deseq2 >=1.46.0,<1.47.0', 'bioconductor-singlecellexperiment >=1.28.0,<1.29.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'bioconductor-zinbwave >=1.28.0,<1.29.0', 'r-base', 'r-copula', 'r-ggplot2', 'r-mass', 'r-matrix', 'r-seurat']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/scBFA_1.20.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/scBFA/scBFA_1.20.0.tar.gz', 'https://bioarchive.galaxyproject.org/scBFA_1.20.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-scbfa/bioconductor-scbfa_1.20.0_src_all.tar.gz']	"['$R -e ""library(\'scBFA\')""']"		This package is designed to model gene detection pattern of scRNA-seq through a binary factor analysis model. This model allows user to pass into a cell level covariate matrix X and gene level covariate matrix Q to account for nuisance variance(e.g batch effect), and it will output a low dimensional embedding matrix for downstream analysis.	['lib/R/lib/', 'lib/']	None				d8da099c3fe5f619b2b834eb458c14be																																												
r-xgr	False	http://XGR.r-forge.r-project.org, http://galahad.well.ox.ac.uk/XGR	GPL-2	GPL2	/lib/R/share/licenses/GPL-2	"The central goal of XGR by Fang et al. (2016) <doi:10.1186/s13073-016-0384-y> is to provide a data interpretation system necessary to do ""big data"" science. It is designed to make a user-defined gene or SNP list (or genomic regions) more interpretable by comprehensively utilising ontology annotations and interaction networks to reveal relationships and enhance opportunities for biological discovery. XGR is unique in supporting a broad range of ontologies (including knowledge of biological and molecular functions, pathways, diseases and phenotypes - in both human and mouse) and different types of networks (including functional, physical and pathway interactions). There are two core functionalities of XGR. The first is to provide basic infrastructures for easy access to built-in ontologies and networks. The second is to support data interpretations via 1) enrichment analysis using either built-in or custom ontologies, 2) similarity analysis for calculating semantic similarity between genes (or SNPs) based on their ontology annotation profiles, 3) network analysis for identification of gene networks given a query list of (significant) genes, SNPs or genomic regions, and 4) annotation analysis for interpreting genomic regions using co-localised functional genomic annotations (such as open chromatin, epigenetic marks, TF binding sites and genomic segments) and using nearby gene annotations (by ontologies). Together with its web app, XGR aims to provide a user-friendly tool for exploring genomic relations at the gene, SNP and genomic region level."	generic	6		1.1.7	['r-base', 'bioconductor-biocgenerics', 'bioconductor-genomicranges', 'bioconductor-iranges', 'r-matrix', 'r-rcircos', 'bioconductor-s4vectors', 'r-dnet', 'r-dplyr', 'r-ggnetwork', 'r-ggplot2', 'r-ggrepel', 'r-igraph', 'bioconductor-suprahex', 'r-tidyr']	['r-base', 'bioconductor-biocgenerics', 'bioconductor-genomicranges', 'bioconductor-iranges', 'r-matrix', 'r-rcircos', 'bioconductor-s4vectors', 'r-dnet', 'r-dplyr', 'r-ggnetwork', 'r-ggplot2', 'r-ggrepel', 'r-igraph', 'bioconductor-suprahex', 'r-tidyr']	db4a4bc452dacba62db4d39a0a65ef19be4adb8030c5676c2642f2631ab1c5e8	['/src/contrib/XGR_1.1.7.tar.gz', '/src/contrib/Archive/XGR/XGR_1.1.7.tar.gz']	"['$R -e ""library(\'XGR\')""']"			['lib/R/lib/', 'lib/']																																																	
thapbi-pict	False	https://github.com/peterjc/thapbi-pict	MIT	MIT	LICENSE.rst	THAPBI Phytophthora ITS1 Classifier Tool (PICT).	python	0	 -m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv	1.0.20	['pip', 'python >=3.10', 'setuptools']	['biom-format >=2.1.14', 'biopython >=1.84', 'cutadapt >=4.9', 'matplotlib-base >=3.9.2', 'networkx >=3.4.2', 'pydot >=3.0.1', 'python >=3.10', 'rapidfuzz >=3.10.1', 'sqlalchemy >=2.0.36', 'xlsxwriter >=3.2', 'blast', 'flash >=1.2.11', 'graphviz', 'vsearch']	a0e4dd936a2f0b12eed989f6de0fad9b6b98369a973e802f58dd86b338c9f81b	https://pypi.io/packages/source/t/thapbi_pict/thapbi_pict-1.0.20.tar.gz	['thapbi_pict --help', 'thapbi_pict -v']	['thapbi_pict']	"THAPBI Phytophthora ITS1 Classifier Tool (PICT) an ITS1-based
diagnostic/profiling tool from the UK BBSRC funded Tree Health
and Plant Biosecurity Initiative (THAPBI) Phyto-Threats project,
focused on identifying Phytophthora species present in Illumina
sequenced environmental samples.
"		['None']					https://github.com/peterjc/thapbi-pict	['thapbi_pict = thapbi_pict.__main__:main']	['peterjc']							https://thapbi-pict.readthedocs.io/en/latest/																																		
reago	False	https://github.com/chengyuan/reago-1.1	Unknown			An assembly tool for 16S ribosomal RNA recovery from metagenomic data		2		1.1	['python', 'setuptools']	['python', 'networkx', 'infernal ==1.1.1', 'genometools-genometools']		https://github.com/chengyuan/reago-1.1/archive/release-2015.12.18.tar.gz	['reago.py', 'filter_input.py sample_1.fasta sample_2.fasta filter_out $PREFIX/bin/cm ba 10', 'reago.py filter_out/filtered.fasta sample_out -l 101']								ac75a8914c209052bc2e2688c19f63c8							True		['reago.patch']													['sample_1.fasta', 'sample_2.fasta']																						
bioconductor-mina	False	https://bioconductor.org/packages/3.20/bioc/html/mina.html	GPL		/lib/R/share/licenses/GPL-3	Microbial community dIversity and Network Analysis		0		1.14.0	['r-apcluster', 'r-base', 'r-biganalytics', 'r-bigmemory', 'r-foreach', 'r-ggplot2', 'r-hmisc', 'r-mcl', 'r-paralleldist', 'r-plyr', 'r-rcpp', 'r-rcpparmadillo', 'r-rcppparallel', 'r-reshape2', 'r-rspectra', 'r-stringr', 'libblas', 'liblapack']	['r-apcluster', 'r-base', 'r-biganalytics', 'r-bigmemory', 'r-foreach', 'r-ggplot2', 'r-hmisc', 'r-mcl', 'r-paralleldist', 'r-plyr', 'r-rcpp', 'r-rcpparmadillo', 'r-rcppparallel', 'r-reshape2', 'r-rspectra', 'r-stringr']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/mina_1.14.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/mina/mina_1.14.0.tar.gz', 'https://bioarchive.galaxyproject.org/mina_1.14.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-mina/bioconductor-mina_1.14.0_src_all.tar.gz']	"['$R -e ""library(\'mina\')""']"		An increasing number of microbiome datasets have been generated and analyzed with the help of rapidly developing sequencing technologies. At present, analysis of taxonomic profiling data is mainly conducted using composition-based methods, which ignores interactions between community members. Besides this, a lack of efficient ways to compare microbial interaction networks limited the study of community dynamics. To better understand how community diversity is affected by complex interactions between its members, we developed a framework (Microbial community dIversity and Network Analysis, mina), a comprehensive framework for microbial community diversity analysis and network comparison. By defining and integrating network-derived community features, we greatly reduce noise-to-signal ratio for diversity analyses. A bootstrap and permutation-based method was implemented to assess community network dissimilarities and extract discriminative features in a statistically principled way.	['lib/R/lib/', 'lib/']	None				7dc755ac67f493187d858b9e27f43882				['None', 'None', 'make']																																								
bronko	False	https://github.com/treangenlab/bronko	MIT	MIT	LICENSE	bronko is an ultra-rapid mapping free variant caller for viral amplicon sequencing data		0		0.1.0		['kmc >=3.2']	5284dfb99a6dcec441836fdea08409b95a9df59257bcf3f38988c81d3fe56548	https://github.com/treangenlab/bronko/archive/refs/tags/v0.1.0.tar.gz	['bronko --help']				['None']					https://github.com/treangenlab/bronko		['rdoughty10']	['None', 'make']				-linux-aarch64 -osx-arm64		https://github.com/treangenlab/bronko/blob/main/README.md																																		
bioconductor-mmdiff2	False	https://bioconductor.org/packages/3.20/bioc/html/MMDiff2.html	Artistic-2.0			Statistical Testing for ChIP-Seq data sets	generic	0		1.34.0	['bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-ggplot2', 'r-locfit', 'r-rcolorbrewer', 'r-shiny']	['bioconductor-biobase >=2.66.0,<2.67.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-ggplot2', 'r-locfit', 'r-rcolorbrewer', 'r-shiny']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/MMDiff2_1.34.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/MMDiff2/MMDiff2_1.34.0.tar.gz', 'https://bioarchive.galaxyproject.org/MMDiff2_1.34.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-mmdiff2/bioconductor-mmdiff2_1.34.0_src_all.tar.gz']	"['$R -e ""library(\'MMDiff2\')""']"		This package detects statistically significant differences between read enrichment profiles in different ChIP-Seq samples. To take advantage of shape differences it uses Kernel methods (Maximum Mean Discrepancy, MMD).	['lib/R/lib/', 'lib/']	None	bioconductor-mmdiff2	recipes/bioconductor-mmdiff2	1.8.0	8ed419214cc72589bcb6a2ef82979593					['biotools:mmdiff2', 'doi:10.1038/nmeth.3252']																																							
latentstrainanalysis	False	https://github.com/brian-cleary/LatentStrainAnalysis	MIT			Partitioning and analysis methods for large, complex sequence datasets	generic	3		0.0.1		['python <3', 'numpy', 'scipy', 'gensim', 'parallel', 'pyro4']	dbec0ecb8a53b3c51a6d2d5e99e0ad59da2a60d3e518f8216ff20bb04f563dca	https://github.com/brian-cleary/LatentStrainAnalysis/archive/7f18468.tar.gz	"['command -v HashCounting.sh', 'command -v KmerSVDClustering.sh', 'command -v ReadPartitioning.sh', 'HashCounting.sh | grep ""Usage:""', 'KmerSVDClustering.sh | grep ""Usage:""', 'ReadPartitioning.sh | grep ""Usage:""']"		"LSA was developed as a pre-assembly tool for partitioning metagenomic reads.
It uses a hyperplane hashing function and streaming SVD in order to find
covariance relations between k-mers. The code, and the process outline in
LSFScripts in particular, have been optimized to scale to massive data
sets in fixed memory with a highly distributed computing environment.
"						bbcf6b3a18d920aa12d40dd594eabc24																							['keuv-grvl']															http://latentstrainanalysis.readthedocs.io/en/latest/						
ccmetagen	False	https://github.com/vrmarcelino/CCMetagen	GPL3	GPL3	LICENSE	CCMetagen: comprehensive and accurate identification of eukaryotes and prokaryotes in metagenomic data.	python	0	python -m pip install --no-deps --ignore-installed . 	1.5.0	['pip', 'python']	['python >=3.9,<3.12', 'ete3', 'pandas', 'kma >=1.3', 'krona']	44a0591e6a5d0a5317cf2307c8da6851dde039679b32bd0cc743b210b4add81d	https://github.com/vrmarcelino/CCMetagen/archive/v1.5.0.tar.gz	['CCMetagen.py --help']				['None']							['vrmarcelino', 'vinisalazar']																																									
bioconductor-verso	False	https://bioconductor.org/packages/3.20/bioc/html/VERSO.html	file LICENSE		LICENSE	Viral Evolution ReconStructiOn (VERSO)	generic	0		1.16.0	['r-ape', 'r-base', 'r-data.tree', 'r-rfast']	['r-ape', 'r-base', 'r-data.tree', 'r-rfast']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/VERSO_1.16.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/VERSO/VERSO_1.16.0.tar.gz', 'https://bioarchive.galaxyproject.org/VERSO_1.16.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-verso/bioconductor-verso_1.16.0_src_all.tar.gz']	"['$R -e ""library(\'VERSO\')""']"		Mutations that rapidly accumulate in viral genomes during a pandemic can be used to track the evolution of the virus and, accordingly, unravel the viral infection network. To this extent, sequencing samples of the virus can be employed to estimate models from genomic epidemiology and may serve, for instance, to estimate the proportion of undetected infected people by uncovering cryptic transmissions, as well as to predict likely trends in the number of infected, hospitalized, dead and recovered people. VERSO is an algorithmic framework that processes variants profiles from viral samples to produce phylogenetic models of viral evolution. The approach solves a Boolean Matrix Factorization problem with phylogenetic constraints, by maximizing a log-likelihood function. VERSO includes two separate and subsequent steps; in this package we provide an R implementation of VERSO STEP 1.	['lib/R/lib/', 'lib/']	None				6a867220991a119efc8c402960fd85c7																																												
plasmidhawk	False	https://gitlab.com/treangenlab/plasmidhawk	MIT		LICENSE	Plasmidhawk is a program for detecting lab-of-origin of input plasmids by building an annotated pangenome of training plasmids.	generic	0	mkdir -p ${PREFIX}/bin && cp plasmidhawk ${PREFIX}/bin	1.0.3		['biopython', 'pan-plaster >=1.1.2', 'python >=3', 'mummer4', 'tqdm']	364fa81d179a82d317f83389f6fa1f5f96856caf387decd6752e0e8c8214638b	https://gitlab.com/treangenlab/plasmidhawk/-/archive/v1.0.3/plasmidhawk-v1.0.3.tar.gz	['plasmidhawk --help']																														['example', 'example/*']																						
r-dsb	False	https://github.com/niaid/dsb	CC0 | file LICENSE	CC	['LICENSE']	Normalizing and denoising protein expression data from droplet-based single cell profiling	generic	0		2.0.1	['r-base', 'bioconductor-limma', 'r-magrittr', 'r-mclust']	['r-base', 'bioconductor-limma', 'r-magrittr', 'r-mclust']	305d5c30b5360182337d67e3f6cbc17271b85afe38d1e10771cca77d5f9402e8	['/src/contrib/dsb_2.0.1.tar.gz', '/src/contrib/Archive/dsb/dsb_2.0.1.tar.gz']	"['$R -e ""library(\'dsb\')""', '""%R%"" -e ""library(\'dsb\')""']"		This lightweight R package provides a method for normalizing and denoising protein expression data from droplet based single cell experiments. Raw protein Unique Molecular Index (UMI) counts from sequencing DNA-conjugated antibody derived tags (ADT) in droplets (e.g. 'CITE-seq') have substantial measurement noise. Our experiments and computational modeling revealed two major components of this noise: 1) protein-specific noise originating from ambient, unbound antibody encapsulated in droplets that can be accurately inferred via the expected protein counts detected in empty droplets, and 2) droplet/cell-specific noise revealed via the shared variance component associated with isotype antibody controls and background protein counts in each cell. This package normalizes and removes both of these sources of noise from raw protein data derived from methods such as 'CITE-seq', 'REAP-seq', 'ASAP-seq', 'TEA-seq', 'proteogenomic' data from the Mission Bio platform, etc. See the vignette for tutorials on how to integrate dsb with 'Seurat' and 'Bioconductor' and how to use dsb in 'Python'. Please see our paper Mulè M.P., Martins A.J., and Tsang J.S. Nature Communications 2022 <https://www.nature.com/articles/s41467-022-29356-8> for more details on the method.	['lib/R/lib/', 'lib/']	['None']								['zip']																					True																			
midas	False	https://github.com/snayfach/MIDAS	GPL-3.0	GPL	LICENSE	An integrated pipeline for estimating strain-level genomic variation from metagenomic data	python	7	-m pip install . --ignore-installed --no-deps -vv	1.3.2	['python', 'pip']	['python >=2.7', 'pandas >=0.17.1', 'pysam >=0.8.1', 'numpy >=1.7.0', 'biopython >=1.6.2', 'hs-blastn', 'bowtie2 =2.3.2', 'samtools =1.4.0']	87621eaa5b51eb81edc87e3e6b86c7efd3e1d64f503c6abca246b1be79120859	https://github.com/snayfach/MIDAS/archive/v1.3.2.tar.gz	['build_midas_db.py --help', 'call_consensus.py --help', 'compare_genes.py --help', 'merge_midas.py  --help', 'query_by_compound.py --help', 'run_midas.py --help', 'snp_diversity.py --help', 'strain_tracking.py --help']														MIDAS requires reference database that needs to be additionally downloaded and set, https://github.com/snayfach/MIDAS/blob/master/docs/ref_db.md.			['midas.patches']																																			
bioconductor-mtbls2	False	https://bioconductor.org/packages/3.20/data/experiment/html/mtbls2.html	CC0			MetaboLights MTBLS2: Comparative LC/MS-based profiling of silver nitrate-treated Arabidopsis thaliana leaves of wild-type and cyp79B2 cyp79B3 double knockout plants. Böttcher et al. (2004)	generic	0		1.36.0	['r-base']	['r-base', 'curl', 'bioconductor-data-packages >=20241103']		['https://bioconductor.org/packages/3.20/data/experiment/src/contrib/mtbls2_1.36.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/mtbls2/mtbls2_1.36.0.tar.gz', 'https://bioarchive.galaxyproject.org/mtbls2_1.36.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-mtbls2/bioconductor-mtbls2_1.36.0_src_all.tar.gz']	"['$R -e ""library(\'mtbls2\')""']"		Indole-3-acetaldoxime (IAOx) represents an early intermediate of the biosynthesis of a variety of indolic secondary metabolites including the phytoanticipin indol-3-ylmethyl glucosinolate and the phytoalexin camalexin (3-thiazol-2'-yl-indole). Arabidopsis thaliana cyp79B2 cyp79B3 double knockout plants are completely impaired in the conversion of tryptophan to indole-3-acetaldoxime and do not accumulate IAOx-derived metabolites any longer. Consequently, comparative analysis of wild-type and cyp79B2 cyp79B3 plant lines has the potential to explore the complete range of IAOx-derived indolic secondary metabolites.	['lib/R/lib/', 'lib/']	None				79a28f68b38f98d6ce03a37e9c345eca																																												
bioconductor-drugvsdiseasedata	False	https://bioconductor.org/packages/3.20/data/experiment/html/DrugVsDiseasedata.html	GPL-3		/lib/R/share/licenses/GPL-3	Drug versus Disease Data	generic	0		1.42.0	['r-base']	['r-base', 'curl', 'bioconductor-data-packages >=20241103']		['https://bioconductor.org/packages/3.20/data/experiment/src/contrib/DrugVsDiseasedata_1.42.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/DrugVsDiseasedata/DrugVsDiseasedata_1.42.0.tar.gz', 'https://bioarchive.galaxyproject.org/DrugVsDiseasedata_1.42.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-drugvsdiseasedata/bioconductor-drugvsdiseasedata_1.42.0_src_all.tar.gz']	"['$R -e ""library(\'DrugVsDiseasedata\')""']"		Data package which provides default disease expression profiles, clusters and annotation information for use with the DrugVsDisease package.	['lib/R/lib/', 'lib/']	None	bioconductor-drugvsdiseasedata	recipes/bioconductor-drugvsdiseasedata	1.16.0	c14a86c5d506d84420eb41edd7858d8c																																												
phylophlan	False	https://github.com/biobakery/phylophlan	MIT License	MIT	license.txt	Precise phylogenetic analysis of microbial isolates and genomes from metagenomes	python	0	 -m pip install . --ignore-installed --no-deps -vv	3.1.1	['python >=3.7', 'pip', 'setuptools']	['python >=3.7', 'biopython >=1.73', 'dendropy >=4.4.0', 'matplotlib-base >=3.1.0', 'numpy >=1.15.4', 'pandas >=0.24.2', 'seaborn >=0.9.0', 'blast >=2.6.0', 'diamond >=0.9', 'trimal >=1.4.1', 'muscle >=3.8.1551', 'mafft >=7.310', 'fasttree >=2.1.8', 'raxml >=8.2.10', 'iqtree >=1.6.6', 'mash', 'requests']	67df67b60b5a361ee9354db031608213d3ecfa2f9ec78104cb3e81903a8cc07a	https://github.com/biobakery/phylophlan/archive/3.1.1.tar.gz	['phylophlan --version', 'phylophlan_draw_metagenomic --version', 'phylophlan_get_reference --version', 'phylophlan_assign_sgbs --version', 'phylophlan_setup_database --version', 'phylophlan_strain_finder --version', 'phylophlan_write_config_file --version']		"PhyloPhlAn 3.0 is an integrated pipeline for large-scale phylogenetic 
profiling of genomes and metagenomes. PhyloPhlAn 3.0 is an accurate, rapid,
and easy-to-use method for large-scale microbial genome characterization 
and phylogenetic analysis at multiple levels of resolution. PhyloPhlAn 3.0 
can assign both genomes and metagenome-assembled genomes (MAGs) to 
species-level genome bins (SGBs). PhyloPhlAn 3.0 can reconstruct 
strain-level phylogenies using clade-specific maximally informative 
phylogenetic markers, and can also scale to very-large phylogenies 
comprising >17,000 microbial species."		['None']																																																
r-cdseq	False	https://github.com/omnideconv/CDSeq	GPL-3	GPL	/lib/R/share/licenses/GPL-3	Estimate cell-type-specific gene expression profiles and sample-specific cell-type proportions simultaneously using bulk sequencing data. Kang et al. (2019) <doi:10.1371/journal.pcbi.1007510>.		6		0	['r-base', 'r-roxygen2 >=6.0.1', 'r-rcpp >=1.0.3', 'r-mass', 'r-foreach', 'r-doparallel', 'r-dirmult', 'r-rcppthread', 'r-iterators', 'r-seurat', 'r-ggplot2', 'r-magrittr', 'r-dplyr', 'r-rlang', 'r-matrix', 'r-matrixstats', 'r-ggpubr', 'r-pheatmap', 'r-harmony', 'r-gplots', 'r-clue', 'bioconductor-biobase', 'r-qlcmatrix']	['r-base', 'r-rcpp >=1.0.3', 'r-mass', 'r-foreach', 'r-doparallel', 'r-dirmult', 'r-rcppthread', 'r-iterators', 'r-seurat', 'r-ggplot2', 'r-magrittr', 'r-dplyr', 'r-rlang', 'r-matrix', 'r-matrixstats', 'r-ggpubr', 'r-pheatmap', 'r-harmony', 'r-gplots', 'r-clue', 'bioconductor-biobase', 'r-qlcmatrix']	c5e91b89f35237df0cc0b6c3e3658e1b34237060935461ac04741e6bb864eaee	https://github.com/omnideconv/CDSeq/archive/d5e776a7d161e59e0844245c23a231916fb6602f.zip	"['$R -e ""library(\'CDSeq\')""']"			['lib/R/lib/', 'lib/']								['LorenzoMerotto', 'grst']	['None']	['doi:10.1371/journal.pcbi.1007510']		True																																					
metawatt	False	https://sourceforge.net/projects/metawatt/	AFL			MetaWatt is a metagenomic binning tool	generic	3		3.5.3		['wget', 'openjdk', 'prodigal', 'diamond 0.7*', 'hmmer', 'bbmap', 'aragorn', 'samtools', 'mafft', 'blast', 'fasttree']	6a7ab1ce79b8798e4e43feeebb88b923cef1b7dd643a512229afd8404756e10b	http://downloads.sourceforge.net/project/metawatt/MetaWatt-3.5.3.zip	['metawatt --check-dependencies 2>&1 >/dev/null']		"The Metawatt binner is a graphical binning tool that makes use of
multivariate statistics of tetranucleotide frequencies and differential
coverage based binning. It also performs taxonomic assessment of binning
quality (via diamond BLASTx). Created bins can be edited and exported as
fasta. The Metawatt is implemented in Java SWING and minimally depends on
Diamond, HMMer3.1, BBMap, Prodigal and the Batik library for the export of
SVG graphics.
"						3ca327c0b6c4f816ffff674095015889			['keuv-grvl']		['doi:10.3389/fmicb.2012.00410']	metawatt --help																																						
bioconductor-screenr	False	https://bioconductor.org/packages/3.20/bioc/html/ScreenR.html	MIT + file LICENSE		LICENSE	Package to Perform High Throughput Biological Screening	generic	0		1.8.0	['bioconductor-edger >=4.4.0,<4.5.0', 'bioconductor-limma >=3.62.0,<3.63.0', 'r-base', 'r-dplyr >=1.0', 'r-ggplot2 >=3.3', 'r-ggvenn >=0.1.9', 'r-magrittr >=1.0', 'r-patchwork >=1.1', 'r-purrr >=0.3.4', 'r-rlang >=0.4', 'r-scales >=1.1.1', 'r-stringr >=1.4', 'r-tibble >=3.1.6', 'r-tidyr >=1.2', 'r-tidyselect >=1.1.2']	['bioconductor-edger >=4.4.0,<4.5.0', 'bioconductor-limma >=3.62.0,<3.63.0', 'r-base', 'r-dplyr >=1.0', 'r-ggplot2 >=3.3', 'r-ggvenn >=0.1.9', 'r-magrittr >=1.0', 'r-patchwork >=1.1', 'r-purrr >=0.3.4', 'r-rlang >=0.4', 'r-scales >=1.1.1', 'r-stringr >=1.4', 'r-tibble >=3.1.6', 'r-tidyr >=1.2', 'r-tidyselect >=1.1.2']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/ScreenR_1.8.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/ScreenR/ScreenR_1.8.0.tar.gz', 'https://bioarchive.galaxyproject.org/ScreenR_1.8.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-screenr/bioconductor-screenr_1.8.0_src_all.tar.gz']	"['$R -e ""library(\'ScreenR\')""']"		ScreenR is a package suitable to perform hit identification in loss of function High Throughput Biological Screenings performed using barcoded shRNA-based libraries. ScreenR combines the computing power of software such as edgeR with the simplicity of use of the Tidyverse metapackage. ScreenR executes a pipeline able to find candidate hits from barcode counts, and integrates a wide range of visualization modes for each step of the analysis.	['lib/R/lib/', 'lib/']	None				c2a515eaadacbe1c59c36a40814e5ab7																																												
plasflow	False	https://github.com/smaegol/PlasFlow	GNU General Public v3 or later (GPLv3+)	GPL3	PlasFlow/LICENSE	PlasFlow - predicting plasmid sequences in metagenomic data		0		1.1.0	['python', 'pip']	['python', 'biopython', 'bioconductor-biostrings', 'rpy2', 'numpy', 'pandas', 'scikit-learn', 'scipy', 'tensorflow']			['PlasFlow.py --help']	['plasflow']												['doi:10.1093/nar/gkx1321']		True				['should_not_use_skip_python', 'should_be_noarch_generic']							[{'sha256': '352d5d7cd73672130e32f3f61c3f2ad95aa684d7aebf7668ab3f2594996c338b', 'url': 'https://pypi.io/packages/source/p/plasflow/plasflow-1.1.0.tar.gz'}, {'folder': 'PlasFlow', 'sha256': '40dc47812167a1ca60950d3d0c7db5bfffec9d72e66d1db20c92d3a2f2f44971', 'url': 'https://github.com/smaegol/PlasFlow/archive/v1.1.tar.gz'}, {'folder': 'tensorflow', 'sha256': '6f30b0300b8326a09791baa0c24e3f6cdb54418374aea4eebc8695dcfec0a7c9', 'url': 'https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.10.0rc0-cp35-cp35m-linux_x86_64.whl'}]																										
