Name	Source	ID	Link	Creators	Type	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
pox-virus-amplicon/main	WorkflowHub	439	https:/workflowhub.eu/workflows/439?version=4	Viktoria Isabel Schwarz, Wolfgang Maier	Galaxy	virology, pox	2025-10-11	2025-10-11	4	4	40	"samtools_stats, 
 Grep1, bwa_mem, collection_element_identifiers, 
 __SORTLIST__, 
 __FILTER_FAILED_DATASETS__, 
 __APPLY_RULES__, EMBOSS: maskseq51, datamash_ops, compose_text_param, samtools_view, ivar_consensus, 
 param_value_from_file, samtools_merge, fasta_compute_length, fastp, tp_cat, qualimap_bamqc, split_file_to_collection, tp_sed_tool, 
 __ZIP_COLLECTION__, ivar_trim, 
 __FLATTEN__, multiqc, 
 Cut1"			MIT		Intergalactic Workflow Commission (IWC)	Amplicon in name	False
MC_COVID19like_Assembly_Reads	WorkflowHub	68	https:/workflowhub.eu/workflows/68?version=1		Galaxy	covid-19	2020-11-04	2023-02-13	1	1	7	spades, bowtie2, unicycler, fastp			Apache-2.0		Italy-Covid-data-Portal	metage.* in description	False
gSpreadComp	WorkflowHub	1340	https:/workflowhub.eu/workflows/1340?version=3	Jonas Kasmanas	Shell Script	bioinformatics, genomics, antimicrobial resistance, microbiome	2025-04-20	2025-04-20	3	3	0			Bioinformatics, Comparative genomics, Data curation and archival, Microbiology	GPL-3.0	10.48546/workflowhub.workflow.1340.3	Kasmanas	microbiom.* in tags	True
cfDNA-Flow	WorkflowHub	1900	https:/workflowhub.eu/workflows/1900?version=1	Ivna Ivankovic, Todor Gitchev, Zsolt Balázs	Snakemake	bioinformatics, cfdna	2025-09-02	2025-09-19	1	1	0			Bioinformatics	GPL-3.0	10.48546/workflowhub.workflow.1900.1	KrauthammerLab	binn.* in description	False
BioSIFTR	WorkflowHub	1735	https:/workflowhub.eu/workflows/1735?version=1	Alejandra Escobar	Nextflow		2025-06-17	2025-06-17	1	1	0			Metagenomics	Apache-2.0	10.48546/workflowhub.workflow.1735.1	MGnify	edam	True
MGnify raw reads taxonomic profiling pipeline	WorkflowHub	450	https:/workflowhub.eu/workflows/450?version=1	Ekaterina Sakharova, Martin Beracochea	Nextflow	metagenomics, nextflow	2023-03-30	2023-03-30	1	1	0	Biopython, Metagenomic operational taxonomic units (mOTUs), MAPseq, Infernal			Apache-2.0		MGnify	metage.* in tags	
MGnify genomes catalogue pipeline	WorkflowHub	462	https:/workflowhub.eu/workflows/462?version=3	Ekaterina Sakharova, Tatiana Gurbich, Martin Beracochea	Nextflow	bioinformatics, metagenomics, nextflow	2024-12-03	2024-12-03	3	3	0				Apache-2.0		MGnify	metage.* in tags	
nf-core/proteinfamilies	WorkflowHub	1954	https:/workflowhub.eu/workflows/1954?version=2	Evangelos Karatzas, Martin Beracochea	Nextflow	bioinformatics, proteomics, protein-families	2025-10-22	2025-10-22	2	2	0				MIT	10.48546/workflowhub.workflow.1954.2	MGnify	profil.* in description	
MGnify - raw-reads analysis pipeline	WorkflowHub	362	https:/workflowhub.eu/workflows/362?version=1	Ekaterina Sakharova, Varsha Kale, Martin Beracochea	Common Workflow Language	cwl, metagenomics, workflows	2022-06-07	2023-01-16	1	1	4				Apache-2.0	10.48546/workflowhub.workflow.362.1	MGnify	metage.* in tags	
mettannotator	WorkflowHub	1069	https:/workflowhub.eu/workflows/1069?version=3	Tatiana Gurbich, Martin Beracochea	Nextflow	bioinformatics, metagenomics	2025-01-21	2025-01-21	3	3	0			Genomics, Metagenomics	Apache-2.0		MGnify	edam	
VIRify	WorkflowHub	26	https:/workflowhub.eu/workflows/26?version=1	Martin Beracochea	Common Workflow Language	covid-19	2020-06-08	2023-01-16	1	1	17	hmmscan, VirSorter, Prodigal, ratio evalue ViPhOG, Combine, Taxonomic assign, ViPhOG annotations, PPR-Meta, krona plots, Default lenght 1kb https://github.com/EBI-Metagenomics/emg-virify-scripts/issues/6, VirFinder, Restore fasta names, Blast in a database of viral sequences including metagenomes, Filter contigs, MashMap			Apache-2.0	10.48546/workflowhub.workflow.26.1	MGnify	metage.* in description	
MGnify - amplicon analysis pipeline	WorkflowHub	361	https:/workflowhub.eu/workflows/361?version=1	Alex L Mitchell,  Alexandre Almeida,  Martin Beracochea,  Miguel Boland,  Josephine Burgin,  Guy Cochrane,  Michael R Crusoe,  Varsha Kale,  Simon C Potter,  Lorna J Richardson,  Ekaterina Sakharova,  Maxim Scheremetjew,  Anton Korobeynikov,  Alex Shlemov,  Olga Kunyavskaya,  Alla Lapidus,  Robert D Finn	Common Workflow Language	cwl, metagenomics, rna, workflow	2022-06-07	2023-01-16	1	1	3				Apache-2.0		MGnify	metage.* in tags	
Mobilome Annotation Pipeline	WorkflowHub	452	https:/workflowhub.eu/workflows/452?version=2	Alejandra Escobar, Martin Beracochea	Nextflow	genomics, mge, metagenomics, mobilome, nextflow	2025-06-17	2025-06-17	2	2	0			Metagenomics, Mobile genetic elements	Apache-2.0		MGnify	edam	
MGnify - assembly analysis pipeline	WorkflowHub	360	https:/workflowhub.eu/workflows/360?version=2	 Alex L Mitchell,  Alexandre Almeida,  Martin Beracochea,  Miguel Boland,  Josephine Burgin,  Guy Cochrane,  Michael R Crusoe,  Varsha Kale,  Simon C Potter,  Lorna J Richardson,  Ekaterina Sakharova,  Maxim Scheremetjew,  Anton Korobeynikov,  Alex Shlemov,  Olga Kunyavskaya,  Alla Lapidus,  Robert D Finn	Common Workflow Language	annotation, cwl, metagenomics, workflow	2022-06-07	2023-04-28	2	2	4				Apache-2.0		MGnify, HoloFood at MGnify	metage.* in tags	
VIRify	WorkflowHub	27	https:/workflowhub.eu/workflows/27?version=1	Martin Beracochea	Nextflow	covid-19	2020-06-08	2023-03-24	1	1	0				Apache-2.0		MGnify, HoloFood at MGnify	metage.* in description	
Tango: Numerical reconciliation of bacterial fermentation in cheese production	WorkflowHub	873	https:/workflowhub.eu/workflows/873?version=1		Common Workflow Language		2024-05-03	2024-05-03	1	1	6			Microbial ecology	GPL-3.0		MISTIC	metab.* in description	
Exploring the role of normalization and feature selection in microbiome disease classification pipelines	WorkflowHub	1807	https:/workflowhub.eu/workflows/1807?version=1	Ignacio Garach	Python	bioinformatics, machine learning, metagenomics	2025-07-13	2025-07-13	1	1	0			Machine learning, Metagenomics	GPL-3.0	10.48546/workflowhub.workflow.1807.1	Machine Learning Techniques in Microbiome	edam	True
ProGFASTAGen - Protein-Graph FASTA Generation (and Identification) Workflows	WorkflowHub	837	https:/workflowhub.eu/workflows/837?version=1	Dominik Lux, Julian Uszkoreit	Nextflow	bioinformatics, proteomics	2024-04-26	2024-04-26	1	1	0		Peptide identification, Protein identification	Bioinformatics, Protein variants, Proteomics	BSD-3-Clause	10.48546/workflowhub.workflow.837.1	Medizinisches Proteom-Center, Medical Bioinformatics	binn.* in description	
SnakeMAGs: a simple, efficient, flexible and scalable workflow to reconstruct prokaryotic genomes from metagenomes	WorkflowHub	554	https:/workflowhub.eu/workflows/554?version=1	Nachida Tadrent, Franck Dedeine, Vincent Hervé	Snakemake	bioinformatics, mag, metagenomics, binning	2023-08-02	2023-08-02	1	1	0			Bioinformatics, Metagenomics	CECILL-2.1		Metagenomic tools	edam	
Swedish Earth Biogenome Project Genome Assembly Workflow	WorkflowHub	1106	https:/workflowhub.eu/workflows/1106?version=1	Mahesh Binzer-Panchal, Martin Pippel	Nextflow	bioinformatics, genome_assembly	2024-08-23	2024-08-26	1	1	0	Hifiasm, GenomeScope 2.0, Merqury, Meryl, BUSCO, QUAST, purge_dups, SAMtools, TaxonKit, MitoHiFi, Mash	Contact map calculation, Sequence profile generation, k-mer counting	Sequence assembly	GPL-3.0		NBIS, ERGA Assembly	profil.* in description	
BatchConvert	WorkflowHub	453	https:/workflowhub.eu/workflows/453?version=3	Bugra Oezdemir	Nextflow	biostudies, conversion, ngff, nextflow, ome-tiff, ome-zarr, python, s3, bash, bioformats, bioformats2raw, bioimaging, file conversion, image file format, imaging	2023-07-05	2023-07-11	3	3	0		Conversion, Data handling, Format detection	Bioimaging, Data management, Imaging, Medical imaging	MIT	10.48546/workflowhub.workflow.453.3	NGFF Tools, Euro-BioImaging	profil.* in description	False
Use Case 10: Guilt by Association	WorkflowHub	1244	https:/workflowhub.eu/workflows/1244?version=2	Playbook Partnership NIH CFDE	Playbook Workflow Builder Workflow		2025-02-25	2025-02-25	2	2	4	"Extract nodes that are ""guilty by association"" and connect your initial genes of interest within the graph., Use CTD to ""Connect the Dots"" and identify highly connected set of proteins in the STRING protein interaction graph. *Please note 10-150 genes of interest are required to run CTD, Extract nodes that are determined to be highly connected by CTD in your initial node set and display them in a table., Start with a set of Genes"			CC-BY-4.0	10.48546/workflowhub.workflow.1244.2	NIH CFDE Playbook Workflow Partnership	metab.* in description	
Use Case 13: Novel Cell Surface Targets for Individual Cancer Patients Analyzed with Common Fund Datasets	WorkflowHub	1246	https:/workflowhub.eu/workflows/1246?version=2	Playbook Partnership NIH CFDE	Playbook Workflow Builder Workflow		2025-02-25	2025-02-25	2	2	13	Based on IDG proteins list, Extract Metabolomics metabolites for the gene from MetGENE, Identify gene-centric information from Metabolomics., Identify RNA-seq-like LINCS L1000 Signatures which reverse the expression of the gene., Identify RNA-seq-like LINCS L1000 Chemical Perturbagen Signatures which reverse the expression of the gene., Extract Metabolomics reactions for the gene from MetGENE, Regulatory elements in 10kbps region upstream or downstream of gene body., Identify significantly overexpressed genes when compared to normal tissue in GTEx, Upload a Data File, Select one Gene, Find protein product records in GlyGen for the gene, Ensure a file contains a gene count matrix, load it into a standard format, Identify RNA-seq-like LINCS L1000 CRISPR KO Signatures which reverse the expression of the gene.			CC-BY-4.0	10.48546/workflowhub.workflow.1246.2	NIH CFDE Playbook Workflow Partnership	metab.* in description	
Use Case 13: Novel Cell Surface Targets for Individual Cancer Patients Analyzed with Common Fund Datasets	WorkflowHub	814	https:/workflowhub.eu/workflows/814?version=1		Common Workflow Language		2024-04-16	2024-04-23	1	1	13	Resolve regulatory elements from gene with Linked Data Hub, Extract Metabolomics metabolites for the gene from MetGENE, Identify gene-centric information from Metabolomics., Identify RNA-seq-like LINCS L1000 Signatures which reverse the expression of the gene., Identify RNA-seq-like LINCS L1000 Chemical Perturbagen Signatures which reverse the expression of the gene., Extract Metabolomics reactions for the gene from MetGENE, Identify significantly overexpressed genes when compared to normal tissue in GTEx, Upload a Data File, Select one Gene, Find protein product records in GlyGen for the gene, Based on IDG understudied proteins list, Ensure a file contains a gene count matrix, load it into a standard format, Identify RNA-seq-like LINCS L1000 CRISPR KO Signatures which reverse the expression of the gene.			CC-BY-NC-SA-4.0		NIH CFDE Playbook Workflow Partnership	metab.* in description	
Use Case 11: Related Proteins/Metabolites across DCCs	WorkflowHub	1245	https:/workflowhub.eu/workflows/1245?version=2	Playbook Partnership NIH CFDE	Playbook Workflow Builder Workflow		2025-02-25	2025-02-25	2	2	9	Compute the MetGENE Reactions for a Gene Set, Perform Enrichment Analysis, Query LINCS L1000 Signatures, Start with a Gene, Compute the MetGENE studies function for a gene set, Compute the MetGENE metabolites for a Gene Set, Given StringDB PPI, generate the list of nodes (GeneSet), Given a gene or gene set (SYMBOL), extract PPI using StringDB APIs, Given StringDB PPI, reformat for plotting			CC-BY-4.0	10.48546/workflowhub.workflow.1245.2	NIH CFDE Playbook Workflow Partnership	metab.* in name	
ONT -- Metagenomics-Kraken2-Krona	WorkflowHub	53	https:/workflowhub.eu/workflows/53?version=1	Milad Miladi	Galaxy	ont	2020-08-05	2023-02-13	1	1	4	tp_replace_in_line, kraken2, datamash_reverse, taxonomy_krona_chart			MIT		NanoGalaxy	metage.* in name	
ONT Artificial Deletion Filter-Delter	WorkflowHub	1205	https:/workflowhub.eu/workflows/1205?version=2	Qiang Ye	Snakemake	bioinformatics, indels, r, workflows	2024-12-17	2024-12-17	2	2	0		Statistical calculation	Computational biology	MIT	10.48546/workflowhub.workflow.1205.2	NkuyfqLab	Amplicon in description	
OpenEBench TCGA Cancer Driver Genes benchmarking workflow	WorkflowHub	244	https:/workflowhub.eu/workflows/244?version=4	José Mª Fernández, Asier Gonzalez-Uriarte	Nextflow	benchmarking, openebench, tcga	2021-11-29	2023-01-16	4	4	0				LGPL-3.0		OpenEBench	profil.* in description	
Obitools eDNA metabarcoding	WorkflowHub	655	https:/workflowhub.eu/workflows/655?version=1	Yvan Le Bras, Coline Royaux	Galaxy	biodiversity, ecology	2023-11-09	2024-12-09	1	1	23	wc_gnu, unzip, obi_uniq, obi_clean, Cut1, obi_stat, Filter1, fastq_groomer, join1, obi_tab, fastqc, obi_illumina_pairend, obi_ngsfilter, obi_grep, obi_annotate, ncbi_blastn_wrapper, seq_filter_by_id	DNA barcoding	Biodiversity, Ecology, Genetics, Phylogenetics	CC-BY-4.0	10.48546/workflowhub.workflow.655.1	PNDB	metab.* in name	
Pangenome databases provide superior host removal and mycobacteria classification from clinical metagenomic data	WorkflowHub	700	https:/workflowhub.eu/workflows/700?version=2	Michael Hall	Snakemake		2024-01-10	2024-01-10	2	2	0				MIT	10.48546/workflowhub.workflow.700.2	Pangenome database project	metage.* in name	
AssemblyQC: A NextFlow pipeline for evaluating assembly quality	WorkflowHub	1058	https:/workflowhub.eu/workflows/1058?version=1	Usman Rashid, Chen Wu, Jason Shiller, Ken Smith, Ross Crowhurst, Marcus Davy, Ting-Hsuan Chen, Susan Thomson, Cecilia Deng	Nextflow	assembly, busco, hi-c, merqury, report, statistics, adaptor, contamination, fcs, genome, k-mer, n50, phasing, quality control, repeat, synteny, taxonomy, telomere	2024-06-25	2024-06-25	1	1	0			Bioinformatics, Data quality management, Genomics	MIT		Plant-Food-Research-Open	profil.* in description	False
The Polygenic Score Catalog Calculator	WorkflowHub	556	https:/workflowhub.eu/workflows/556?version=7	Samuel Lambert, Benjamin Wingfield, Laurent Gil	Nextflow	gwas, nextflow, workflows, genomic ancestry, polygenic risk score, polygenic score, prediction	2024-11-01	2024-11-01	7	7	0	PLINK		DNA polymorphism, Genetic variation, Genomics, Human genetics	Apache-2.0		Polygenic Score Catalog	profil.* in description	
ONTViSc (ONT-based Viral Screening for Biosecurity)	WorkflowHub	683	https:/workflowhub.eu/workflows/683?version=3	Marie-Emilie  Gauthier, Craig Windell, Magdalena Antczak, Roberto Barrero	Nextflow	assembly, bioinformatics, nextflow, ont, virology, virus, blast, singularity	2024-12-18	2024-12-18	3	3	0				MIT	10.48546/workflowhub.workflow.683.3	QCIF Bioinformatics	Amplicon in description	
Taxonomy classification using Kraken2 and Bracken	WorkflowHub	1199	https:/workflowhub.eu/workflows/1199?version=2	Valentine Murigneux, Mike Thang	Galaxy	gucfg2galaxy, metagenomics, name:collection, shotgun	2024-12-10	2024-12-10	2	2	29	"__RELABEL_FROM_FILE__, krakentools_beta_diversity, kraken2, collection_column_join, regex1, taxonomy_krona_chart, Prepare alpha diversity summary file (paste sample identifiers and Simpson results)
Paste1, Prepare alpha diversity summary file (paste Simpson and Fisher results)
Paste1, krakentools_alpha_diversity, Prepare alpha diversity summary file
Paste1, krakentools_combine_kreports, collection_element_identifiers, cat_multiple, add_line_to_file, Extract column name and fraction_total_reads from Bracken report
Cut1, krakentools_kreport2krona, est_abundance, Fisher results contains a header line we want to exclude ""Fisher's alpha...loading""
Show tail1"		Metagenomics, Taxonomy	CC-BY-4.0	10.48546/workflowhub.workflow.1199.2	QCIF Bioinformatics	edam	
Workflow 2: Data Cleaning And Chimera Removal [16S Microbial Analysis With Mothur]	WorkflowHub	649	https:/workflowhub.eu/workflows/649?version=1	Saskia Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	9	mothur_unique_seqs, mothur_pre_cluster, mothur_summary_seqs, mothur_screen_seqs, mothur_filter_seqs, mothur_chimera_vsearch, mothur_remove_seqs			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
16S_biodiversity_for_nonoverlap_paired_end	WorkflowHub	233	https:/workflowhub.eu/workflows/233?version=1		Galaxy	metadegalaxy	2021-11-10	2024-04-17	1	1	25	"uclust2otutable, phyloseq_taxonomy, bwa_mem, phyloseq_abundance, picard_FilterSamReads, vsearch_chimera_detection, 
 addValue, cat_multi_datasets, biom_convert, phyloseq_DESeq2, 
 cat1, phyloseq_richness, phyloseq_net, fastqc, vsearch_dereplication, samtools_fastx, vsearch_search, trimmomatic, biom_add_metadata, symmetricPlot, vsearch_clustering, 
 Cut1"	Taxonomic classification	Metagenomics	GPL-3.0		QCIF Bioinformatics	edam	True
Workflow 7 : Beta Diversity [16S Microbial Analysis With Mothur]	WorkflowHub	653	https:/workflowhub.eu/workflows/653?version=1	Saskia Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	4	mothur_tree_shared, mothur_heatmap_sim, newick_display, mothur_dist_shared			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
Workflow 6: Alpha Diversity [16S Microbial Analysis With Mothur]	WorkflowHub	652	https:/workflowhub.eu/workflows/652?version=1	Saskia Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	3	XY_Plot_1, mothur_rarefaction_single, mothur_summary_single			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
Workflow 5: OTU Clustering [16S Microbial Analysis With Mothur]	WorkflowHub	651	https:/workflowhub.eu/workflows/651?version=1	Saskia Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	5	mothur_sub_sample, mothur_classify_otu, mothur_count_groups, mothur_make_shared, mothur_cluster_split			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
16S_biodiversity_for_overlap_paired_end	WorkflowHub	232	https:/workflowhub.eu/workflows/232?version=1		Galaxy	metadegalaxy	2021-11-10	2024-04-17	1	1	27	"uclust2otutable, phyloseq_taxonomy, bwa_mem, phyloseq_abundance, picard_FilterSamReads, vsearch_chimera_detection, 
 addValue, iuc_pear, biom_convert, phyloseq_DESeq2, 
 cat1, phyloseq_richness, phyloseq_net, fastqc, picard_MergeSamFiles, vsearch_dereplication, samtools_fastx, vsearch_search, trimmomatic, biom_add_metadata, symmetricPlot, vsearch_clustering, 
 Cut1"	Taxonomic classification	Metagenomics	GPL-3.0		QCIF Bioinformatics	edam	True
Workflow 3: Classification [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	650	https:/workflowhub.eu/workflows/650?version=1	Saskia Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	2	mothur_remove_lineage, mothur_classify_seqs			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
Workflow 1: Further Quality Control [16S Microbial Analysis With Mothur]	WorkflowHub	648	https:/workflowhub.eu/workflows/648?version=1	Saskia  Hiltemann, Bérénice Batut, Dave Clements, Ahmed Mehdi	Galaxy	metagenomics	2023-11-09	2023-11-09	1	1	5	mothur_count_seqs, mothur_unique_seqs, mothur_summary_seqs, mothur_screen_seqs			CC-BY-4.0		QCIF Bioinformatics	metage.* in tags	
Analyses of shotgun metagenomics data with MetaPhlAn2	WorkflowHub	624	https:/workflowhub.eu/workflows/624?version=1	Valentine Murigneux, Mike Thang, Saskia Hiltemann, Bérénice Batut	Galaxy	gucfg2galaxy, metagenomics, shotgun	2023-10-26	2024-04-05	1	1	17	, merge_metaphlan_tables, Cut1, taxonomy_krona_chart, humann2, metaphlan2, humann2_regroup_table, humann2_renorm_table, metaphlan2krona	Taxonomic classification	Metagenomic sequencing, Metagenomics	CC-BY-4.0	10.48546/workflowhub.workflow.624.1	QCIF Bioinformatics	edam	True
Theoretical fragment substructure generation and in silico mass spectral library high-resolution upcycling workflow	WorkflowHub	888	https:/workflowhub.eu/workflows/888?version=2	Zargham Ahmad, Helge Hecht, Elliott J. Price	Galaxy	bioinformatics, cheminformatics, metabolomics	2024-06-06	2024-06-19	2	2	22	tp_find_and_replace, matchms_add_key, recetox_msfinder, matchms_subsetting, matchms_metadata_export, msmetaenhancer, use_theoretical_mz_annotations, matchms_remove_key, tabular_to_csv, matchms_convert, rem_complex, matchms_filtering, column_remove_by_header, csv_to_tabular	Annotation, Data filtering, Information retrieval	Compound libraries and screening, Computational chemistry, Data mining, Small molecules	CC-BY-4.0	10.48546/workflowhub.workflow.888.2	RECETOX SpecDatRI	metab.* in tags	
SARS-CoV-2 ONT Amplicon Sequencing SANBI 1.0	WorkflowHub	521	https:/workflowhub.eu/workflows/521?version=1		Galaxy	sanbi, sars-cov-2, nanopore	2023-06-29	2023-06-29	1	1	5	read_it_and_keep, nanoplot, artic_guppyplex, artic_minion			CC-BY-4.0		SANBI Pathogen Bioinformatics	Amplicon in name	
SARS-CoV-2 Illumina Amplicon pipeline - SANBI - v1.2	WorkflowHub	519	https:/workflowhub.eu/workflows/519?version=1	Peter van Heusden, Bradley W. Langhorst	Galaxy	artic, sanbi, sars-cov-2, covid-19	2023-06-28	2023-06-30	1	1	20	compose_text_param, samtools_view, qualimap_bamqc, samtools_stats, tp_sed_tool, multiqc, bbtools_bbmap, snpeff_sars_cov_2, ivar_consensus, tp_awk_tool, read_it_and_keep, ivar_variants, samtools_ampliconclip, fastp, __FLATTEN__, tp_cat, collapse_dataset, deeptools_bam_coverage			MIT		SANBI Pathogen Bioinformatics	Amplicon in name	
ENA SARS-CoV-2 Nanopore Amplicon Sequencing Analysis Workflow	WorkflowHub	104	https:/workflowhub.eu/workflows/104?version=1	David F. Nieuwenhuijse,  Alexey Sokolov	Nextflow		2021-02-12	2023-11-24	1	1	0				GPL-3.0		SARS-CoV-2 Data Hubs	Amplicon in name	False
covid-sequence-analysis-workflow	WorkflowHub	664	https:/workflowhub.eu/workflows/664?version=1	David Yuan	Nextflow	genomics, sars-cov-2, pathogen	2023-11-14	2023-11-14	1	1	0				Apache-2.0	10.48546/workflowhub.workflow.664.1	SARS-CoV-2 Data Hubs	profil.* in description	False
SAMBA: Standardized and Automated MetaBarcoding Analyses workflow	WorkflowHub	156	https:/workflowhub.eu/workflows/156?version=1	Cyril Noel, Alexandre Cormier, Laura Leroi, Patrick Durand	Nextflow	16s, 18s, metabarcoding, nextflow, edna	2021-09-10	2025-06-05	1	1	0				AGPL-3.0	10.48546/workflowhub.workflow.156.1	SeBiMER	metab.* in tags	
SAMBA-norovirus	WorkflowHub	1727	https:/workflowhub.eu/workflows/1727?version=1	Cyril Noel, Antoine Veron, Françoise Vincent-Hubert, Julien Schaeffer, Marion Desdouits, Soizick Le Guyader	Nextflow	metabarcoding, workflows, taxonomic-classification	2025-06-10	2025-06-10	1	1	0		Taxonomic classification	Metabarcoding, Workflows	AGPL-3.0	10.48546/workflowhub.workflow.1727.1	SeBiMER	edam	
Workflow 3: AMR - SeqSero2/SISTR	WorkflowHub	407	https:/workflowhub.eu/workflows/407?version=1		Galaxy	bioinformatics, antimicrobial resistance	2022-11-24	2024-09-09	1	1	14	srst2, hamronize_tool, mob_recon, bbtools_tadpole, __UNZIP_COLLECTION__, sistr_cmd, bbtools_bbduk, kma_map, hamronize_summarize, shovill, seqsero2			GPL-3.0		Seq4AMR	antimicrobial.* in tags	
Workflow 4: Staramr	WorkflowHub	470	https:/workflowhub.eu/workflows/470?version=1		Galaxy	10.3390/microorganisms10020292, amr, amr-detection, bioinformatics, antimicrobial resistance	2023-05-11	2024-09-09	1	1	10	tp_find_and_replace, hamronize_tool, abricate, staramr_search, hamronize_summarize, shovill, collapse_dataset			GPL-3.0		Seq4AMR	amr in tags	
AMR-Pathfinder	WorkflowHub	1189	https:/workflowhub.eu/workflows/1189?version=2	Helena Rasche, Dennis Dollée, Birgit Rijvers	Galaxy	amr, amr-detection, benchamrking	2024-11-14	2024-12-24	2	2	36	, addValue, Grep1, hamronize_summarize, cat_multi_datasets, Cut1, __APPLY_RULES__, staramr_search, datamash_ops, hamronize_tool, cast, collapse_dataset, tp_find_and_replace, abricate, __MERGE_COLLECTION__, tp_split_on_column, cat1, tp_text_file_with_recurring_lines, shovill	Antimicrobial resistance prediction		MIT		Seq4AMR, ErasmusMC Clinical Bioinformatics	amr in tags	True
Metaenome-Atlas	WorkflowHub	1183	https:/workflowhub.eu/workflows/1183?version=1		Python		2024-10-21	2024-10-21	1	1	0			Metagenomics	BSD-3-Clause		Snakemake-Workflows	edam	True
BVSim: A Benchmarking Variation Simulator Mimicking Human Variation Spectrum	WorkflowHub	1361	https:/workflowhub.eu/workflows/1361?version=1	Yongyi Luo, Zhen Zhang, Jiandong Shi, Jingyu Hao, Sheng Lian, Taobo Hu, Toyotaka Ishibashi, Depeng Wang, Shu Wang, Weichuan Yu, Xiaodan Fan	Unrecognized workflow type	genomics, python	2025-05-10	2025-05-10	1	1	0		Statistical modelling	Genetic variation	GPL-3.0	10.48546/workflowhub.workflow.1361.1	Structural Variation Analysis	profil.* in description	False
IndexReferenceFasta-nf	WorkflowHub	393	https:/workflowhub.eu/workflows/393?version=1	Georgina Samaha	Nextflow	bwa, bioinformatics, gatk, genomics, nextflow, samtools, wgs, index, referencegenome	2022-10-12	2023-01-16	1	1	0				LGPL-3.0	10.48546/workflowhub.workflow.393.1	Sydney Informatics Hub, Australian BioCommons	16S in description	False
Shotgun-Metagenomics-Analysis	WorkflowHub	327	https:/workflowhub.eu/workflows/327?version=1	Cali Willet, Rosemarie Sadsad, Tracy Chew	Shell Script	assembly, diamond, metagenomics, abricate, antimicrobial resistance, bbmap, braken, humann2, kraken, prokka, shotgun, whole genome sequencing	2022-04-07	2023-01-16	1	1	0			Metagenomic sequencing, Metagenomics	GPL-3.0	10.48546/workflowhub.workflow.327.1	Sydney Informatics Hub, Australian BioCommons	edam	
Long Read WGS pipeline	WorkflowHub	1868	https:/workflowhub.eu/workflows/1868?version=1	Martijn Melissen	Common Workflow Language	annotation, assembly, bioinformatics, cwl, galaxy, genomics, python, workflows, plasmid, plasmids	2025-08-12	2025-08-12	1	1	31	Flye, Filtlong, Minimap2, Clair3, FreeBayes, Bakta, snpEff, Liftoff	Conversion, Generation	Bioinformatics, Genomics, Sequence assembly	CC-BY-4.0		Systems and Synthetic Biology	plasmid.* in tags	True
reference (and plasmid) preprocessing workflow	WorkflowHub	1818	https:/workflowhub.eu/workflows/1818?version=1	Martijn Melissen	Common Workflow Language	bioinformatics, cwl, genbank, gff3, plasmids	2025-07-22	2025-08-12	1	1	6	Determines relevant final outputs., Extracts FASTA file from input reference file when no plasmids are provided., Extracts GFF3 annotation file from the (merged) reference., Merges the plasmid(s) with the reference GenBank file., Merges plasmids when more than one are present., Downloads the associated GenBank file from the supplied accession number.			Apache-2.0		Systems and Synthetic Biology	plasmid.* in tags	
TronFlow alignment pipeline	WorkflowHub	418	https:/workflowhub.eu/workflows/418?version=1		Nextflow	alignment, bwa, bioinformatics, star, fastp	2023-01-17	2023-01-17	1	1	0				MIT		TRON gGmbH	profil.* in description	
CoVigator pipeline: variant detection pipeline for Sars-CoV-2 (and other viruses...)	WorkflowHub	417	https:/workflowhub.eu/workflows/417?version=1	Pablo Riesgo Ferreiro, Thomas Bukur, Patrick Sorn	Nextflow	bioinformatics, nextflow, sars-cov-2, covid-19, variant calling	2023-01-17	2023-01-17	1	1	0				MIT		TRON gGmbH	Amplicon in description	False
sanger-tol/ensemblrepeatdownload v1.0.0 - Gwaihir the Windlord	WorkflowHub	667	https:/workflowhub.eu/workflows/667?version=1	Matthieu Muffato, Priyanka Surana	Nextflow		2023-11-14	2023-11-14	1	1	0				MIT		Tree of Life Genome Analysis	profil.* in description	
